,Geo Point,NOM_COM,Unnamed: 0,Nombre d’habitants de la commune,Policiers pour 100 habs,Libellé de la commune,president_gagnant,partie,Revenu fiscal de référence des foyers fiscaux 2021,Evolution,Age moyen,longitude,latitude
1542,"46.9464611398, 4.31090682484",autun,1034,13000.0,2.3076923076923075,autun,MACRON,Centre,183810.14,-98.57195147123004,"28,0163752", 4.31090682484,46.9464611398
1544,"47.1180253685, 3.33187297921",nolay,252,1477.0,6.770480704129993,nolay,LE PEN,Extrême droite,4431.822,3968.970030836076,"27,66691843", 3.33187297921,47.1180253685
1550,"47.6639213836, -2.43670532261",questembert,718,8000.0,2.5,questembert,MACRON,Centre,118259.33,-63.87372142223367,"25,24696133", -2.43670532261,47.6639213836
1551,"42.9476493588, 2.38667469557",arques,856,9882.0,3.035822707953856,arques,LE PEN,Extrême droite,2221.574,-53.03158931460307,"24,52868852", 2.38667469557,42.9476493588
1560,"49.3465260361, 3.03919883648",chelles,1112,56024.0,6.782807368270742,chelles,LE PEN,Extrême droite,892875.905,-99.4550526033066,"22,86165049", 3.03919883648,49.3465260361
1566,"45.7592594612, -1.191377644",la tremblade,213,4322.0,4.627487274409996,la tremblade,MACRON,Centre,90405.479,-96.87331450342738,"31,91832766", -1.191377644,45.7592594612
1568,"45.1920126931, 0.711534338387",perigueux,276,30056.0,6.654245408570668,perigueux,MACRON,Centre,425955.891,-96.8187741298312,"25,33949231", 0.711534338387,45.1920126931
1569,"48.6407253519, 6.17300480192",houdemont,679,2289.0,4.36871996505024,houdemont,MACRON,Centre,46790.923,-40.58435008858449,"26,19533679", 6.17300480192,48.6407253519
1570,"48.0483278044, -3.50875939037",le faouet,708,2850.0,0.0,le faouet,MÉLENCHON,Extrême gauche,5103.256,-40.31173431236842,"23,86079545", -3.50875939037,48.0483278044
1574,"43.611577156, 1.32726979619",colomiers,409,40529.0,4.441264279898345,colomiers,MACRON,Centre,629266.712,-97.54467641377477,"22,09008718", 1.32726979619,43.611577156
1575,"48.0090439742, 3.41016054753",joigny,1287,9879.0,5.061241016297196,joigny,MÉLENCHON,Extrême gauche,104326.309,14.446966584430786,"24,38844355", 3.41016054753,48.0090439742
1576,"48.2558867132, 3.81076563782",estissac,131,1851.0,0.0,estissac,LE PEN,Extrême droite,23505.419,-90.51728454617208,"23,63942308", 3.81076563782,48.2558867132
1578,"44.545455527, 6.28802413351",chorges,51,3055.0,3.273322422258593,chorges,LE PEN,Extrême droite,49276.898,-95.4955382946386,"25,22965116", 6.28802413351,44.545455527
1579,"49.6176927325, 0.76098800419",yvetot,1108,12000.0,5.833333333333334,yvetot,MACRON,Centre,167761.822,-98.93379555689374,"26,93138512", 0.76098800419,49.6176927325
1580,"49.6421766648, 2.19666874931",cormeilles,811,438.0,0.0,cormeilles,LE PEN,Extrême droite,14219.128,-78.18378173401351,"25,8220339", 2.19666874931,49.6421766648
1584,"49.399101584, 2.73478833696",jonquieres,1242,5800.0,6.896551724137931,jonquieres,MÉLENCHON,Extrême gauche,13637.653,-56.2332242945322,"24,53571429", 2.73478833696,49.399101584
1609,"48.1850514122, 3.23837029392",paron,1290,4946.0,12.13101496158512,paron,LE PEN,Extrême droite,64053.794,-98.53618663088092,"23,64311843", 3.23837029392,48.1850514122
1610,"47.8490181531, 3.58789321283",moneteau,1289,4204.0,7.1360608943863,moneteau,MACRON,Centre,65385.369,-98.9504746849406,"26,09185262", 3.58789321283,47.8490181531
1612,"47.9755165504, 3.53198613472",migennes,1288,7370.0,6.784260515603799,migennes,LE PEN,Extrême droite,70672.947,-97.10513982104072,"24,51578791", 3.53198613472,47.9755165504
1613,"48.9013937501, 2.81265848004",esbly,1121,6451.0,4.650441791970237,esbly,MACRON,Centre,116778.644,-92.6589907997219,"22,15315315", 2.81265848004,48.9013937501
1614,"43.3043402394, -0.39250646363",billere,890,12628.0,3.1675641431738994,billere,MACRON,Centre,206984.223,-95.7924493597756,"26,10442145", -0.39250646363,43.3043402394
1615,"49.471978024, 2.67295027573",hemevillers,815,490.0,0.0,hemevillers,LE PEN,Extrême droite,7433.319,281.77382135759274,"19,31542056", 2.67295027573,49.471978024
1616,"47.945184974, 3.53669238335",cheny,1286,2394.0,4.177109440267335,cheny,LE PEN,Extrême droite,27927.57,13.17794566444556,"24,13089732", 3.53669238335,47.945184974
1617,"48.9128078947, 2.38454842862",aubervilliers,1327,90000.0,3.0,aubervilliers,MÉLENCHON,Extrême gauche,784035.487,-83.66700957759072,"18,74856704", 2.38454842862,48.9128078947
1618,"49.1928564452, 2.18651421308",bornel,800,4872.0,4.105090311986864,bornel,LE PEN,Extrême droite,77948.852,-83.5537039083013,"21,75226244", 2.18651421308,49.1928564452
1621,"48.8457093916, 2.78688716029",serris,1147,9324.0,10.725010725010724,serris,MACRON,Centre,153494.216,-60.77660476796076,"18,44565217", 2.78688716029,48.8457093916
1622,"49.3277706085, 6.12333123467",florange,729,12065.0,4.973062577704102,florange,LE PEN,Extrême droite,155853.922,-70.99347361948324,"23,77881508", 6.12333123467,49.3277706085
1624,"48.8931393014, 7.92453673747",betschdorf,944,4211.0,2.374732842555213,betschdorf,LE PEN,Extrême droite,65200.74,-91.37054119324412,"23,75681935", 7.92453673747,48.8931393014
1628,"49.3514188868, 6.20105284675",yutz,754,16633.0,4.208501172368184,yutz,MACRON,Centre,286712.528,-98.48511084245332,"23,18228969", 6.20105284675,49.3514188868
1629,"47.6086404612, -3.07015255762",carnac,696,4500.0,11.11111111111111,carnac,MACRON,Centre,101325.532,-98.73598097664072,"30,446", -3.07015255762,47.6086404612
1630,"49.2624270363, 6.17190708926",mondelange,740,5732.0,0.0,mondelange,LE PEN,Extrême droite,81485.279,-97.96669285503704,"23,87101115", 6.17190708926,49.2624270363
1631,"49.1779273123, -0.286445599024",giberville,167,4998.0,4.001600640256102,giberville,LE PEN,Extrême droite,64804.873,-55.06739284868284,"23,94663774", -0.286445599024,49.1779273123
1632,"48.773435882, 4.48375387269",pringy,1144,3000.0,10.0,pringy,LE PEN,Extrême droite,6857.89,-79.65766438365152,"24,31884058", 4.48375387269,48.773435882
1640,"49.5135247791, 4.38402978057",rethel,110,7800.0,5.128205128205128,rethel,LE PEN,Extrême droite,103906.072,-96.64536640361112,"24,8880985", 4.38402978057,49.5135247791
1642,"43.4433580328, -1.49662260152",bassussarry,888,3326.0,0.0,bassussarry,MACRON,Centre,76183.008,-89.90101966044712,"22,91101695", -1.49662260152,43.4433580328
1643,"43.5380781567, 3.45861681747",paulhan,474,4069.0,9.830425165888425,paulhan,LE PEN,Extrême droite,50303.603,99.80757839552764,"25,49891008", 3.45861681747,43.5380781567
1644,"48.8125956765, 1.94662384182",plaisir,1173,31365.0,5.101227482863064,plaisir,MACRON,Centre,554055.311,-75.13023045455475,"21,94796815", 1.94662384182,48.8125956765
1645,"46.5622744929, 3.32725048972",moulins,35,20000.0,4.0,moulins,LE PEN,Extrême droite,1117.061,-24.005940588741343,25, 3.32725048972,46.5622744929
1654,"42.9653610948, 1.61016305727",foix,115,10000.0,4.0,foix,MÉLENCHON,Extrême gauche,148375.704,-94.40257213539488,"26,20440882", 1.61016305727,42.9653610948
